developer-agreement,developer-agreement-type,entry-date,start-date,end-date,planning-application,document-url,csrf_token
ftyuk,vfk,2019-06-05,2019-06-05,2019-06-14,vghl,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPZ-Vw.bZfLtFN4o_cMR7ZB1uqa6ulhFzw
cvghk,cvghuk,2019-06-05,2019-06-05,2019-06-05,"vhbj,l",https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPZ-mg.VsXb6BTQf2bOlVT8fvZ0eUGuASA
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaIrg.QuiADtDC-Xw9qnxZo9b0WdeB2tE
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaKnQ.PioSg4OikxqbQ3VoHEqgMas0qsk
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaKrA.qA9jxbNpp1kLn5JlRyfOY_lNPN0
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaK_w.dy671PD4pGmZIbrmlk2blKgyqgc
vftyi,ftyu,2019-06-05,,,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaLGw.l_LOF30MKIkpRzrjM5WaCsPsB6U
grergew,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZMA.ocq4bllD1jF6IOWcUAemWsdypUw
grergew,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZ2Q.iXJQR8Pcyg-5MgAy98YN9iYf4EI
Christine ,grwergew,2019-06-13,2019-05-30,2019-06-21, hmcghk,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPaZ6Q.ovEqciVFzBLOLfrXz2bRpx5wZNg
BOB,noop,2211-12-12,1212-02-12,1221-12-12,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPfDiA.isIPX0stS7JINmfpEdJy5cKeEQM
BOB,noop,2211-12-12,1212-02-12,1221-12-12,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPfDpQ.dzDemt3Ly9PoLJ-7nASOrBdR4lY
BOB,noop,2211-12-12,1212-02-12,1221-12-12,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPfDrQ.nVsnwKMgNwv1cTDo38Ou_-KI5PM
BOB,noop,2211-12-12,1212-02-12,1221-12-12,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPfFKg.HcYa7KLi4tTVlrjMbznnGQDrk1Y
BOB,noop,2211-12-12,1212-02-12,1221-12-12,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPjd_w.3Sp6ySBRDS0m7Edg8xQXsfcDf80
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boop,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPjeeg.1QJhef-P6sImSiB-g7PioSTmTnI
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boop,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPje9Q.RU013iq01CHCe8D-NiyIofkF0do
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boops,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPjidw.VEplmAj6Cn-9dJpjNZw2AoL93pc
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boops,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPji3A.e1l68UCR1kdoFVBDYVBc8ZU1APk
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boops,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPji8Q.xO6gffN6Ix9gmkWYisl1bwldWxE
Boop,Boop,2019-06-13,2019-06-20,2019-06-27,Boops,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPjnjw.iPwkoaaUuju6zxoCfrjeYCN4OTc
Noop,Noop,2019-06-04,2019-06-08,2019-06-28,NOoop,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPkA-Q.B47NAT6XHEDMkdW4tQzcGyKR3n8
Noop,Noop,2019-06-04,2019-06-08,2019-06-28,Nooop,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPkBDw.nsQ4IiWLGZNuM86UKbyhNirdj0U
Hello,section-106,2019-06-13,2019-06-15,2019-06-15,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPkxjQ.9PQbdh0PJTJwzHna7odi9HYYxpo
ftyocgh,section-106,2019-06-21,2019-06-15,2019-06-23,dfrtyty,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPo9tg.ZT7qKLuE7JLvKjYHMO2Eb2Teqkk
This is a check,community-infrastructure-levy,2019-06-06,2019-06-22,2019-06-28,Lots of money,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XPp2DA.Tv38IiHRh6QElfDCcUFPcRnJkrQ
few,community-infrastructure-levy,2019-06-22,2019-06-15,2019-06-30,bgw,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XP4cNw.EOAaUl5bwB7RnSF8AcFNBqmOF5I
grew,community-infrastructure-levy,2019-06-15,2019-06-16,2019-06-29,gregqr,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XP4mtw.2aIrbyjqUBUwb8SOR0YEcJTHycM
grew,community-infrastructure-levy,2019-06-15,2019-06-16,2019-06-30,gregqr,https://docs.python.org/2/library/urlparse.html,ImUzMDI5YTJiOTI5MDBmMWNmZDA0MjkwMTc0ZDUxMDRiNzQxYzBiYTQi.XP4q9Q.iIQ03bEbwVf1P135jrLLI-mROWc
